trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171377614,100,9/21/2021 6:17,9/21/2021 7:57,13803,Round Trip,1,One Day Pass,standard,4215,4215,34.014309,-118.491341,34.014309,-118.491341,0
171380182,3,9/21/2021 8:09,9/21/2021 8:12,5875,One Way,30,Monthly Pass,standard,4250,4245,34.03017,-118.280952,34.02404,-118.283409,0.008587
171380283,7,9/21/2021 8:12,9/21/2021 8:19,5775,One Way,1,Walk-up,standard,3006,3008,34.04554,-118.256668,34.046612,-118.262733,0.007137
171380383,3,9/21/2021 8:21,9/21/2021 8:24,6038,One Way,30,Monthly Pass,standard,4516,3005,34.045849,-118.254402,34.0485,-118.258537,0.006786
171380385,7,9/21/2021 8:13,9/21/2021 8:20,5925,One Way,365,Annual Pass,standard,3082,3014,34.04652,-118.237411,34.05661,-118.237213,0.010288
171380387,8,9/21/2021 8:12,9/21/2021 8:20,20251,One Way,1,One Day Pass,standard,3006,3008,34.04554,-118.256668,34.046612,-118.262733,0.007137
171380390,18,9/21/2021 8:04,9/21/2021 8:22,13975,One Way,1,Walk-up,standard,4569,4554,34.02655,-118.408463,34.00351,-118.43438,0.048957
171380395,19,9/21/2021 8:01,9/21/2021 8:20,16939,Round Trip,1,Walk-up,electric,3069,3069,34.05088,-118.248253,34.05088,-118.248253,0
171380484,7,9/21/2021 8:20,9/21/2021 8:27,12139,One Way,30,Monthly Pass,standard,4486,3007,34.06126,-118.258598,34.05048,-118.254593,0.014785
171380490,23,9/21/2021 8:06,9/21/2021 8:29,15130,One Way,30,Monthly Pass,standard/smart,4555,4583,34.005871,-118.429161,33.976189,-118.418419,0.040424
171380582,6,9/21/2021 8:26,9/21/2021 8:32,19996,One Way,30,Monthly Pass,standard,4449,3011,34.04557,-118.274193,34.04113,-118.267982,0.010651
171380684,15,9/21/2021 8:24,9/21/2021 8:39,20143,One Way,30,Monthly Pass,standard,4562,4576,34.02697,-118.428207,34.022579,-118.40551,0.027088
